structure	score	cellTypes	spanRatio	leaves	minCycle	maxCycle	beatLevel
[[3,2,2],[3,2,2],[3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2,2],[3,2],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2,2],[3,3],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2],[2,2,3],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2],[2,3,2],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2],[3,2,2],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[2,2,3],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[2,3,2],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[3,2,2],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[3,3],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[3,3],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,3],[3,3],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[[2,2],[2,3]],[[2,3],[2,3]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[2,2],[3,2]],[[3,2],[3,2]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[2,3],[2,2]],[[2,3],[2,3]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[2,3],[2,3]],[[2,2],[2,3]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[2,3],[2,3]],[[2,3],[2,2]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[3,2],[2,2]],[[3,2],[3,2]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[3,2],[3,2]],[[2,2],[3,2]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[[3,2],[3,2]],[[3,2],[2,2]]]	0.333333	2	1.5000	19	1.9000	5.0000	2
[[2,2,2],[2,2,2],[2,3,3]]	0.333333	2	1.5000	20	2.0000	5.0000	1
[[2,2,2],[2,2,2],[3,2,3]]	0.333333	2	1.5000	20	2.0000	5.0000	1
